'altitude';'is_sea';'digue';'densite_bati';'obstacle_height';'constructible';'historique'
-10.0;true;0;0.0;0.0;true;0.0
-5.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
-1.0;true;0;0.0;0.0;true;0.0
